Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,18.75,21.25
18.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,21.25,23.75
19.15,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,23.75,26.25
19.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,26.25,28.75
19.55,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,28.75,31.25
19.75,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,31.25,33.75
19.95,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,33.75,36.25
20.15,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,36.25,38.75
20.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,38.75,41.25
20.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,41.25,43.75
20.75,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,43.75,46.25
20.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,46.25,48.75
21.15,0.49999999999993810506637714752287138253,-0.50000000000000000000000000000000000000,48.75,51.25
21.35,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,51.25,53.75
21.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,53.75,56.25
21.75,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,56.25,58.75
21.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,58.75,61.25
22.15,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,61.25,63.75
22.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,63.75,66.25
22.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,66.25,68.75
22.75,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,68.75,71.25
22.95,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,71.25,73.75
23.15,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
23.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
23.55,0.63618008187267716113666438104701228440,-0.50000000000000000000000000000000000000,71.25,73.75
23.75,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,71.25,73.75
23.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
24.15,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
24.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
24.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
24.75,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,71.25,73.75
24.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
25.15,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,71.25,73.75
25.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
25.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
25.75,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
25.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
26.15,0.56835842989696561122769935536780394614,-0.50000000000000000000000000000000000000,71.25,73.75
26.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
26.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
26.75,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
26.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
27.15,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
27.35,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,71.25,73.75
27.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
27.75,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
27.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
28.15,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
28.35,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
28.55,0.53812914447072657253556826617568731308,-0.50000000000000000000000000000000000000,71.25,73.75
28.75,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
28.95,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
29.15,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,71.25,73.75
29.35,0.49999999999995042854195048676047008485,-0.50000000000000000000000000000000000000,71.25,73.75
29.55,0.49999999999995031751964802424481604248,-0.50000000000000000000000000000000000000,71.25,73.75
